City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
184,Haines Junction,60.75,-137.51,-5.8,70,100,1.12,CA,overcast clouds
185,Pauini,-7.71,-66.98,93.15,42,68,2.89,BR,broken clouds
186,Namatanai,-3.67,152.43,81.68,72,68,5.01,PG,broken clouds
187,Waingapu,-9.66,120.26,79.68,72,85,2.66,ID,overcast clouds
188,Comodoro Rivadavia,-45.87,-67.5,66.2,48,0,14.99,AR,clear sky
189,Cacu,-18.56,-51.13,90.77,29,53,6.73,BR,broken clouds
190,Himensulan,10.6,124.28,77.0,88,90,2.24,PH,overcast clouds
191,Kijang,35.24,129.21,44.6,65,0,2.24,KR,clear sky
192,Acari,-15.43,-74.62,73.04,51,50,7.14,PE,scattered clouds
193,Buenos Aires,-34.61,-58.38,77.0,60,20,13.87,AR,few clouds
194,Ionia,42.99,-85.07,71.6,26,1,16.11,US,clear sky
195,Tabou,4.42,-7.35,78.85,86,89,5.26,CI,light rain
196,Zyryanka,65.75,150.85,-3.82,92,99,6.31,RU,overcast clouds
197,Petropavl,54.88,69.16,41.31,76,100,14.94,KZ,light rain
198,Kobryn,52.21,24.36,45.46,93,0,6.76,BY,clear sky
199,Libourne,44.92,-0.25,59.0,93,100,6.93,FR,overcast clouds
200,Krasavino,60.96,46.48,35.17,87,97,10.96,RU,light rain
201,Tsogni,-2.79,10.1,76.12,94,100,6.04,GA,light rain
202,Murray Bridge,-35.12,139.27,48.0,90,0,3.53,AU,clear sky
203,Isangel,-19.55,169.27,80.89,71,0,7.76,VU,clear sky
204,Christchurch,-43.53,172.63,46.0,100,100,23.04,NZ,moderate rain
205,Puerto Leguizamo,-0.19,-74.78,86.22,63,99,3.18,CO,light rain
206,Kaili,-3.46,120.21,68.88,76,96,2.51,ID,overcast clouds
207,Baykit,61.67,96.37,20.7,95,100,2.86,RU,light snow
208,Bambous Virieux,-20.34,57.76,73.4,78,40,6.93,MU,scattered clouds
209,Santa Cruz Cabralia,-16.28,-39.02,78.8,83,40,12.75,BR,scattered clouds
210,Los Llanos De Aridane,28.66,-17.92,68.0,68,20,8.05,ES,few clouds
211,Mandalgovi,45.76,106.27,26.06,70,0,7.85,MN,clear sky
212,Zhigansk,66.77,123.37,-16.26,88,61,5.28,RU,broken clouds
