City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Yulara,AU,71.6,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
270,Naifaru,MV,81.77,overcast clouds,5.44,73.37,Naifaru Residence Guest House
271,Constitucion,CL,64.63,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
274,Makokou,GA,70.74,moderate rain,0.57,12.86,WAMY RESIDENCE HOTEL
275,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
276,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
278,Vinukonda,IN,72.48,clear sky,16.05,79.75,VLS Residency
280,Bereda,ES,61.0,few clouds,43.27,-7.54,Pazo de Verdes
281,Saint-Philippe,RE,73.4,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
282,Hit,IQ,67.68,overcast clouds,33.64,42.83,Aboody Alhachem
284,Omboue,GA,77.77,broken clouds,-1.57,9.26,Hotel Olako
285,Trelew,AR,71.15,overcast clouds,-43.25,-65.31,Hotel Touring Club
287,Sabang,ID,80.29,overcast clouds,5.89,95.32,Hotel Citra
288,Nelson Bay,AU,63.0,scattered clouds,-32.72,152.15,Mantra Nelson Bay
289,Gwadar,PK,73.74,clear sky,25.12,62.33,Sadaf Resort
294,Turan,VN,73.4,scattered clouds,16.07,108.22,Grand Mercure Danang
295,Boa Vista,BR,78.8,moderate rain,2.82,-60.67,Aipana Plaza Hotel
297,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
298,Oia,PT,60.01,broken clouds,40.54,-8.54,Hotel Estalagem da Pateira
300,Poya,NC,77.13,scattered clouds,-21.35,165.15,
303,Pangai,TO,74.37,few clouds,-19.8,-174.35,Ha'apai Beach Resort
304,Lazaro Cardenas,MX,83.26,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
306,Natal,BR,82.4,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
307,Sao Joao Da Barra,BR,77.0,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
308,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
311,Malakal,SS,78.62,overcast clouds,9.53,31.66,Nile Palace Hotel
313,Lewistown,US,71.6,clear sky,40.6,-77.57,Quality Inn & Suites
314,Azul,AR,74.7,overcast clouds,-36.78,-59.86,Cabañas Dulcinea
315,San Patricio,US,82.4,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
317,Awjilah,LY,64.11,clear sky,29.11,21.29,
319,Vila Franca Do Campo,PT,60.8,light intensity shower rain,37.72,-25.43,Pestana Bahia Praia
321,Port Lincoln,AU,60.22,scattered clouds,-34.73,135.87,Port Lincoln Hotel
322,San Andres,CO,86.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
323,Khorramshahr,IR,78.8,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
327,Caravelas,BR,76.48,clear sky,-17.71,-39.25,Pousada dos Navegantes
328,Kosum Phisai,TH,73.4,broken clouds,16.25,103.07,Banrao
329,Kimbe,PG,78.4,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
332,Luena,AO,62.94,moderate rain,-11.78,19.92,Hotel Kandamba
333,Westport,US,71.01,clear sky,41.14,-73.36,The Westport Inn
335,Port-Gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
336,Hamilton,US,73.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
337,Grand-Santi,GF,87.19,few clouds,4.25,-54.38,Hotel La Villa Couacou
338,Daru,PG,76.57,overcast clouds,-9.08,143.21,New century hotel
343,Mineral Wells,US,75.99,clear sky,32.81,-98.11,The Baker Hotel and Spa
346,Takoradi,GH,79.05,light rain,4.88,-1.76,Raybow International Hotel
347,Paracuru,BR,84.2,few clouds,-3.41,-39.03,Hotel Vento Brasil
348,Necochea,AR,63.64,clear sky,-38.55,-58.74,dyd -mar Hotel
352,Conde,BR,80.6,scattered clouds,-7.26,-34.91,Pousada Beija Flor
353,Tonaya,MX,84.2,few clouds,19.78,-103.97,Mayra gallardo
354,Doha,QA,84.0,clear sky,25.29,51.53,Doha Marriott Hotel
356,Honiara,SB,73.4,few clouds,-9.43,159.95,Heritage Park Hotel
357,Ferrol,ES,60.01,light rain,43.48,-8.24,Carrís Almirante
